ID;login;contribuicao
1140504;paulossjunior;2
1140504;paulossjunior;4
3442998;ndrewtl;2
12942127;timurey;2
512243;acouch;1
12607959;vikaskyadav;1
5304905;mehedi-sharif;1
10122339;icarodgl;19
26235116;MatheusRBarbosa;14
9582398;lukasg18;4
1140504;paulossjunior;3
1140504;paulossjunior;73
1748946;Corlobin;1
54473;joshlong;4
1140504;paulossjunior;25
1140504;paulossjunior;10
1175999;phoenixproject;2
1140504;paulossjunior;5
1140504;paulossjunior;3
1140504;paulossjunior;2
1140504;paulossjunior;4
10122339;icarodgl;1
53695774;sejaflow;2
1140504;paulossjunior;1
1140504;paulossjunior;5
5139405;LEDS;10
1140504;paulossjunior;3
94974335;recombX;3
1140504;paulossjunior;3
1140504;paulossjunior;3
1140504;paulossjunior;1
1140504;paulossjunior;2
15687467;profmoisesomena;7
1140504;paulossjunior;1
2041757;stevepeak;19
11602092;TomPed;6
11331801;konohiroaki;2
4213028;thomasrockhu;2
11074473;0ddlyoko;1
8485477;codecov-test;1
437269;ddubson;1
814032;jangalinski;1
5946409;mjwsteenbergen;1
11574031;pnerg;1
20642750;sylhare;1
1140504;paulossjunior;3
2388347;fhueske;7
1140504;paulossjunior;2
1140504;paulossjunior;5
1140504;paulossjunior;4
213026;NicoK;30
43608;alpinegizmo;13
90604809;alibahadirzeybek;1
5725237;zentol;1
6058958;infoverload;1
11542289;gnuhpc;1
1214071;sv3ndk;1
1122020;xhudik;1
1891970;sjwiesman;1
