key;rule;severity;component;project;hash;status;effort;debt;creation_date;update_date;close_date;type;resolution;assignee
AYP4YCH077HIeUB3hHIY;typescript:S4782;MAJOR;brave_brave-core:components/brave_wallet_ui/components/desktop/select-network-dropdown/index.tsx;brave_brave-core;a612a735ecd191d11acf5be2300009b8;OPEN;1min;1min;2022-10-19T00:25:56+0200;2022-10-19T00:33:18+0200;;CODE_SMELL;;Douglashdaniel@github
AYPxkrvAaMemyChiUcZN;typescript:S3358;MAJOR;brave_brave-core:components/brave_wallet_ui/components/desktop/chart-control-bar/chart-control-bar.style.ts;brave_brave-core;3fedc956a895f4dd46e3262d9d883d66;OPEN;5min;5min;2022-10-18T22:45:32+0200;2022-10-19T20:43:06+0200;;CODE_SMELL;;
AYPxlAs1SMYayuQr4VrO;typescript:S125;MAJOR;brave_brave-core:components/brave_wallet_ui/components/extension/transactions-panel/transactions-panel.stories.tsx;brave_brave-core;d9d2be6adc35ecf55d13e8d95a911982;OPEN;5min;5min;2022-10-18T22:19:03+0200;2022-10-19T20:44:20+0200;;CODE_SMELL;;
AYQNmbsP3iy0NBnDIPtG;javascript:S2703;BLOCKER;brave_brave-core:build/commands/lib/util.js;brave_brave-core;946298097c2fe216b7081421f3071de6;OPEN;2min;2min;2022-10-18T17:02:47+0200;2022-10-18T17:09:42+0200;;CODE_SMELL;;
AYPdGRUshW61s418Ht-A;typescript:S2814;MAJOR;brave_brave-core:components/brave_new_tab_ui/components/default/braveToday/customize/Context.tsx;brave_brave-core;a7d4271756c800e1a860c17195f080e9;OPEN;20min;20min;2022-10-15T20:09:32+0200;2022-10-15T21:18:51+0200;;CODE_SMELL;;
AYPm81IuVbbV2X0HuVqY;typescript:S3358;MAJOR;brave_brave-core:components/brave_rewards/resources/page/components/connect_wallet_modal.tsx;brave_brave-core;6fda7956ac74450d0ab49bceb739d624;OPEN;5min;5min;2022-10-12T22:05:07+0200;2022-10-12T22:05:07+0200;;CODE_SMELL;;
AYPk2ZGUx7DqtE976oFC;typescript:S1135;INFO;brave_brave-core:components/brave_wallet_ui/components/desktop/popup-modals/add-account-modal/hardware-wallet-connect/types.ts;brave_brave-core;8b06be48a1942d154c833c6896c12d3a;OPEN;0min;0min;2022-10-12T10:32:24+0200;2022-10-12T10:32:24+0200;;CODE_SMELL;;
AYPk2ZGUx7DqtE976oFD;typescript:S1135;INFO;brave_brave-core:components/brave_wallet_ui/components/desktop/popup-modals/add-account-modal/hardware-wallet-connect/types.ts;brave_brave-core;8b06be48a1942d154c833c6896c12d3a;OPEN;0min;0min;2022-10-12T10:32:24+0200;2022-10-12T10:32:24+0200;;CODE_SMELL;;
AYPNBUMeNOF_sdzi-Ni2;javascript:S1135;INFO;brave_brave-core:build/commands/lib/config.js;brave_brave-core;8f3f5b235531d270b101513562bd294a;OPEN;0min;0min;2022-10-12T08:39:46+0200;2022-10-12T08:39:46+0200;;CODE_SMELL;;mherrmann@github
AYPDiYfADK5cikcniH7F;python:S1542;MAJOR;brave_brave-core:chromium_src/third_party/catapult/telemetry/telemetry/internal/backends/chrome/desktop_browser_finder.py;brave_brave-core;dca97016987bcb308c508e7df8c431bc;OPEN;10min;10min;2022-10-10T22:09:13+0200;2022-10-10T22:11:17+0200;;CODE_SMELL;;atuchin-m@github
AYPDiYfqDK5cikcniH7G;python:S1542;MAJOR;brave_brave-core:chromium_src/tools/perf/core/results_dashboard.py;brave_brave-core;6bd6c40869efdcef5110ed6a83fdc136;OPEN;10min;10min;2022-10-10T22:09:13+0200;2022-10-10T22:11:17+0200;;CODE_SMELL;;atuchin-m@github
AYPDiYfqDK5cikcniH7H;python:S1542;MAJOR;brave_brave-core:chromium_src/tools/perf/core/results_dashboard.py;brave_brave-core;e4091337fa795641896e7cc12e7f7364;OPEN;10min;10min;2022-10-10T22:09:13+0200;2022-10-10T22:11:17+0200;;CODE_SMELL;;atuchin-m@github
AYPDiYfqDK5cikcniH7I;python:S1542;MAJOR;brave_brave-core:chromium_src/tools/perf/core/results_dashboard.py;brave_brave-core;299e58d0666431fcaf739541ccdccb8e;OPEN;10min;10min;2022-10-10T22:09:13+0200;2022-10-10T22:11:17+0200;;CODE_SMELL;;atuchin-m@github
AYPDiYZrDK5cikcniH6p;python:S1172;MAJOR;brave_brave-core:tools/perf/components/brave_logdog_helper.py;brave_brave-core;726c9fd09246435dda13a8859c4a3ff4;OPEN;5min;5min;2022-10-10T22:09:13+0200;2022-10-10T22:11:17+0200;;CODE_SMELL;;atuchin-m@github
AYPDiYZrDK5cikcniH6q;python:S1172;MAJOR;brave_brave-core:tools/perf/components/brave_logdog_helper.py;brave_brave-core;726c9fd09246435dda13a8859c4a3ff4;OPEN;5min;5min;2022-10-10T22:09:13+0200;2022-10-10T22:11:17+0200;;CODE_SMELL;;atuchin-m@github
AYPDiYbrDK5cikcniH6-;python:S1542;MAJOR;brave_brave-core:tools/perf/components/browser_binary_fetcher.py;brave_brave-core;0ef97d6be4a5e46cf6e7efcc7f8fdae6;OPEN;10min;10min;2022-10-10T22:09:13+0200;2022-10-10T22:11:17+0200;;CODE_SMELL;;atuchin-m@github
AYPDiYbrDK5cikcniH6_;python:S1542;MAJOR;brave_brave-core:tools/perf/components/browser_binary_fetcher.py;brave_brave-core;9ce90e6379fb4765e385adefa0f49d6d;OPEN;10min;10min;2022-10-10T22:09:13+0200;2022-10-10T22:11:17+0200;;CODE_SMELL;;atuchin-m@github
AYPDiYbADK5cikcniH6w;python:S1542;MAJOR;brave_brave-core:tools/perf/components/browser_type.py;brave_brave-core;2f1cf6591c6c6248595c4952c5240b87;OPEN;10min;10min;2022-10-10T22:09:13+0200;2022-10-10T22:11:17+0200;;CODE_SMELL;;atuchin-m@github
AYPDiYbADK5cikcniH6y;python:S1542;MAJOR;brave_brave-core:tools/perf/components/browser_type.py;brave_brave-core;0ddf8f9a5bf9ac12539f01714ffcbf93;OPEN;10min;10min;2022-10-10T22:09:13+0200;2022-10-10T22:11:17+0200;;CODE_SMELL;;atuchin-m@github
AYPDiYbBDK5cikcniH6z;python:S5655;CRITICAL;brave_brave-core:tools/perf/components/browser_type.py;brave_brave-core;7b221ec46e6a7388aa27fe2ac644e7fa;OPEN;20min;20min;2022-10-10T22:09:13+0200;2022-10-10T22:11:17+0200;;CODE_SMELL;;atuchin-m@github
AYPDiYbBDK5cikcniH60;python:S5655;CRITICAL;brave_brave-core:tools/perf/components/browser_type.py;brave_brave-core;0a77831311c7caff6e2d1ab846a7fc7f;OPEN;20min;20min;2022-10-10T22:09:13+0200;2022-10-10T22:11:17+0200;;CODE_SMELL;;atuchin-m@github
AYPDiYbBDK5cikcniH61;python:S100;MINOR;brave_brave-core:tools/perf/components/browser_type.py;brave_brave-core;f5bc70312add06209f1c62b1c6445e13;OPEN;5min;5min;2022-10-10T22:09:13+0200;2022-10-10T22:11:17+0200;;CODE_SMELL;;atuchin-m@github
AYPDiYbBDK5cikcniH62;python:S100;MINOR;brave_brave-core:tools/perf/components/browser_type.py;brave_brave-core;ac6898b266065edc001a8be0699d152d;OPEN;5min;5min;2022-10-10T22:09:13+0200;2022-10-10T22:11:17+0200;;CODE_SMELL;;atuchin-m@github
AYPDiYbBDK5cikcniH63;python:S100;MINOR;brave_brave-core:tools/perf/components/browser_type.py;brave_brave-core;bc262efb6789aefe6663af93b7b8af4a;OPEN;5min;5min;2022-10-10T22:09:13+0200;2022-10-10T22:11:17+0200;;CODE_SMELL;;atuchin-m@github
AYPDiYbBDK5cikcniH64;python:S100;MINOR;brave_brave-core:tools/perf/components/browser_type.py;brave_brave-core;8d01e9d12c90b836ec44673689357d99;OPEN;5min;5min;2022-10-10T22:09:13+0200;2022-10-10T22:11:17+0200;;CODE_SMELL;;atuchin-m@github
AYPDiYbBDK5cikcniH65;python:S100;MINOR;brave_brave-core:tools/perf/components/browser_type.py;brave_brave-core;1d6c2056bc98c9c07572bb5236ffbc51;OPEN;5min;5min;2022-10-10T22:09:13+0200;2022-10-10T22:11:17+0200;;CODE_SMELL;;atuchin-m@github
AYPDiYbBDK5cikcniH66;python:S1542;MAJOR;brave_brave-core:tools/perf/components/browser_type.py;brave_brave-core;c29afe1374c282c7c770bce73a81f77c;OPEN;10min;10min;2022-10-10T22:09:13+0200;2022-10-10T22:11:17+0200;;CODE_SMELL;;atuchin-m@github
AYPDiYbBDK5cikcniH67;python:S1542;MAJOR;brave_brave-core:tools/perf/components/browser_type.py;brave_brave-core;3bc4e5be62708e12c83d6d08cfbce8f1;OPEN;10min;10min;2022-10-10T22:09:13+0200;2022-10-10T22:11:17+0200;;CODE_SMELL;;atuchin-m@github
